precision,recall,threshold
0.03499449307944726,0.9996756406097956,0.03834449
0.03499489042806858,0.9996756406097956,0.038364165
0.03499528778571347,0.9996756406097956,0.03838043
0.03499568515238225,0.9996756406097956,0.03838052
0.03499608252807521,0.9996756406097956,0.038388923
0.03499647991279268,0.9996756406097956,0.038431693
0.034996877306534946,0.9996756406097956,0.038460124
0.03499727470930233,0.9996756406097956,0.03847785
0.03499767212109513,0.9996756406097956,0.038494986
0.03499806954191365,0.9996756406097956,0.038544346
0.034998466971758214,0.9996756406097956,0.038551386
0.03499886441062912,0.9996756406097956,0.038583577
0.03499926185852667,0.9996756406097956,0.038635597
0.03499965931545118,0.9996756406097956,0.038639005
0.03500005678140296,0.9996756406097956,0.03867502
0.035000454256382305,0.9996756406097956,0.038815532
0.03500085174038953,0.9996756406097956,0.038850702
0.035001249233424944,0.9996756406097956,0.03887441
0.03500244176670339,0.9996756406097956,0.03889926
0.035002839295854626,0.9996756406097956,0.038904484
0.03500323683403559,0.9996756406097956,0.038918287
0.035003634381246596,0.9996756406097956,0.038925514
0.03500403193748793,0.9996756406097956,0.03894472
0.03500442950275992,0.9996756406097956,0.038950734
0.035004827077062865,0.9996756406097956,0.038974885
0.03500522466039707,0.9996756406097956,0.038996704
0.03500562225276285,0.9996756406097956,0.03911376
0.03500601985416051,0.9996756406097956,0.039134447
0.035006417464590364,0.9996756406097956,0.0391522
0.035006815084052706,0.9996756406097956,0.039168388
0.03500721271254785,0.9996756406097956,0.03918566
0.0350076103500761,0.9996756406097956,0.03920838
0.03500800799663778,0.9996756406097956,0.03922206
0.03500840565223318,0.9996756406097956,0.039245002
0.03500880331686261,0.9996756406097956,0.039280564
0.03500920099052639,0.9996756406097956,0.039294478
0.03500959867322481,0.9996756406097956,0.039305303
0.0350099963649582,0.9996756406097956,0.039314803
0.03501079177553107,0.9996756406097956,0.03935019
0.035011189494371174,0.9996756406097956,0.039397724
0.03501158722224747,0.9996756406097956,0.039417643
0.03501198495916026,0.9996756406097956,0.039423473
0.035012382705109854,0.9996756406097956,0.03951353
0.035012780460096565,0.9996756406097956,0.039544266
0.03501317822412069,0.9996756406097956,0.039552238
0.03501357599718256,0.9996756406097956,0.039554264
0.035013973779282455,0.9996756406097956,0.039574914
0.03501437157042069,0.9996756406097956,0.039575327
0.03501476937059759,0.9996756406097956,0.039582815
0.03501516717981345,0.9996756406097956,0.039596394
0.03501556499806858,0.9996756406097956,0.03960498
0.03501596282536328,0.9996756406097956,0.039609
0.03501636066169787,0.9996756406097956,0.03965284
0.03501675850707266,0.9996756406097956,0.039660055
0.035017156361487944,0.9996756406097956,0.039663345
0.03501755422494404,0.9996756406097956,0.03967474
0.03501795209744126,0.9996756406097956,0.039727
0.0350183499789799,0.9996756406097956,0.039765067
0.035018747869560274,0.9996756406097956,0.039790485
0.0350191457691827,0.9996756406097956,0.039796565
0.035019543677847466,0.9996756406097956,0.039798565
0.035019941595554896,0.9996756406097956,0.03980642
0.0350203395223053,0.9996756406097956,0.039824195
0.03502073745809897,0.9996756406097956,0.039866418
0.03502113540293623,0.9996756406097956,0.03989136
0.03502153335681738,0.9996756406097956,0.03989797
0.03502193131974273,0.9996756406097956,0.039982643
0.035022329291712596,0.9996756406097956,0.040001024
